Model,Accuracy,Precision,Recall,F1,ROC-AUC,Süre(s)
Random Forest,0.9992428544387658,1.0,0.9987944544906571,0.9993968636911942,0.9999878065053444,2.1
XGBoost,0.9989589248533031,0.9990959770980865,0.9992465340566606,0.9991712499058238,0.999990797362524,1.7
MLP,0.9973499905356805,0.9980403979499548,0.9977396021699819,0.9978899773926149,0.9998962786067821,20.9
KNN,0.9967821313647549,0.9965403128760529,0.9983423749246534,0.9974405299608552,0.9983807384196309,2.2
CNN,0.9965928449744463,0.9975874547647768,0.9969861362266426,0.9972867048537836,0.9997193195569851,96.3
BiLSTM,0.9959303426083664,0.9968349660889224,0.9966847498493068,0.9967598523095471,0.9993800873330295,876.9
Decision Tree,0.995741056218058,0.9947455337036482,0.9984930681133213,0.9966157779950364,0.9937669002602812,0.9
GRU,0.9944160514858982,0.9963773584905661,0.9947257383966245,0.9955508634341301,0.9994143671576272,615.3
LSTM,0.9934696195343555,0.9945774966109354,0.9950271247739603,0.9948022598870057,0.998933395144382,710.3
SVM,0.986276736702631,0.9895911902247699,0.9885473176612417,0.9890689785148888,0.9971645715328681,79.9
Logistic Regression,0.9773802763581299,0.9811945238453438,0.9828209764918626,0.9820070767145976,0.9941839139430695,0.2
Naive Bayes,0.8471512398258565,0.8161440624606473,0.9766425557564798,0.889209027920697,0.9636424307539874,0.0
