Feature,Oy_Sayisi,Oy_Yuzdesi
api_eval,5,71.4
api_density,5,71.4
count_function_expr,4,57.1
file_length,4,57.1
api_src_assign,4,57.1
count_bracket,3,42.9
num_lines,3,42.9
ratio_uppercase,3,42.9
count_single_quote,3,42.9
ratio_alpha,3,42.9
count_plus,3,42.9
entropy_full,3,42.9
obfusc_score,2,28.6
count_semicolon,2,28.6
count_pipe,2,28.6
ratio_space,2,28.6
ratio_digit,2,28.6
count_string_literals,2,28.6
count_ternary,2,28.6
avg_line_length,2,28.6
count_function_decl,1,14.3
count_percent,1,14.3
hex_encoded_chars,1,14.3
entropy_strings,1,14.3
max_nesting_depth,1,14.3
max_line_length,1,14.3
count_this,1,14.3
count_prototype,1,14.3
count_for,1,14.3
count_urls,1,14.3
unique_chars,1,14.3
