Feature,Random Forest,XGBoost,Decision Tree,KNN,Logistic Regression,SVM,Naive Bayes
api_density,0.04323091522598669,0.31595543,0.01356545370293295,0.04875684794752565,0.034951161536623136,0.03830581167928982,0.05389118681369166
api_eval,0.05738065339617066,1.734463,0.004126361495365333,0.03966750286886229,0.06118954519573633,0.05433444748619915,0.0022915722686572566
api_src_assign,0.010296701779030115,0.2461155,0.01905592660989015,0.009356786505864354,0.027082260648493475,0.016296678875727708,0.05463806160242881
avg_line_length,0.006958591425497992,0.16912986,0.004082106464588107,0.009505613768781692,0.034491448273297746,0.01835026708623932,0.007034187931245845
count_bracket,0.012731956497928484,0.8333825,0.046524123777909696,0.0052310483821077745,0.02689828659795818,0.0068353683447027495,0.0018248258714255506
count_bracket_access,0.007664951383870784,0.47813404,0.002183750089451153,0.008716091863777387,0.005902659124273184,0.011286032623011952,0.0024212179991514433
count_double_quote,0.006024701971977835,0.08166979,0.004262421198098748,0.00989142016636624,0.0027145556618081855,0.006535511246359537,0.002245091007521737
count_for,0.007593507694352923,0.12079645,0.0,0.00732425670650708,0.013403256729457469,0.011157387244034773,0.019671650251821233
count_function_decl,0.003689205852780559,0.23372269,0.020735794940547864,0.010309464523428817,0.009748805924252594,0.0031288843022953517,0.0032165885546250796
count_function_expr,0.05496043496694498,0.7757197,0.018357379715569992,0.004553295680003545,0.019784787070563723,0.008889686883668327,0.05620109045384071
count_if,0.005038065162295942,0.10513768,0.004401778385199273,0.007795927297619393,0.005202990989145078,0.005775917437489186,0.007512611553579922
count_paren,0.009340624684887373,0.081573434,0.0,0.009882957117682533,0.003136117023166658,0.003839557950540517,0.0015245703862097324
count_percent,0.01185467980041489,0.86411214,0.000695991393964311,0.011276507466052441,0.0018289736112013467,0.005163217955500822,0.006538158529657949
count_pipe,0.02400284863155577,0.4521043,0.010633925085896436,0.003352567489539093,0.004157764502216926,0.0038253909391683257,0.010051619462966446
count_plus,0.026106825505711688,0.9889687,0.024741124551706104,0.008410864286109777,0.007454968977198615,0.008971073973876312,0.0025585290788040322
count_prototype,0.0014269772289462158,0.0362402,0.0012582819594002545,0.005484913524676934,0.0018389111991853257,0.0036963875857812857,0.022238714373179168
count_regex,0.009730111083100615,0.36154607,0.0049228056795903525,0.0075703968384896484,0.005320457043119652,0.01011924597440227,0.0028149667676281775
count_semicolon,0.0272644141658592,1.1367741,0.01030096236058788,0.006871866633155266,0.009901876989389368,0.0112331958032817,0.001502986977160038
count_single_quote,0.002398072615153242,0.2679221,0.014556376481181979,0.021624781667688817,0.0016213138063130529,0.00543465247467734,0.00952745258648943
count_square,0.008147204939112297,0.20170769,0.009985327564435898,0.0031887539531481857,0.0042217578477476755,0.005153951476964628,0.0023927923994518626
count_string_literals,0.0167792297421219,0.07609772,0.005915701615872962,0.011741779916569552,0.03122393580605617,0.017803965062557926,0.002785616737553223
count_ternary,0.019851753444992327,0.96960473,0.011489274959521003,0.008040246736253502,0.008289534448236052,0.010462253409904365,0.002785645673904939
count_this,0.01317221564191881,0.253621,0.009970781867811095,0.009859977692645629,0.008571593350121054,0.005979755663309408,0.02611538392702105
count_urls,0.010123895263443166,0.15181543,0.004631786740185634,0.002882782185332327,0.0036193333315530703,0.003908445834968508,0.01576503807858389
count_var,0.007617450026565575,0.60245913,0.003335388578185239,0.004898173066636152,0.015386679502289734,0.004266069579913575,0.005558345200361371
count_very_long_lines,0.003380299393171397,0.013515094,0.0,0.0062241959116921845,0.0031735586833476805,0.0065770418568881946,0.00267073642226419
entropy_full,0.006042771234374147,0.44548187,0.00532572810852191,0.026384187454850747,0.07472273995825515,0.028778945944202477,0.0034154889396688206
entropy_strings,0.001284626632824093,0.14164503,0.0063552323045707095,0.020705085259944207,0.0035310524982547975,0.007749799345621874,0.002204881709943455
file_length,0.02124942691230357,0.1980967,0.03978292133543515,0.006557673755815745,0.05591786712213903,0.019652807746893975,0.0025195549856701117
hex_encoded_chars,0.01832658264436515,0.26499733,0.03874469208244873,0.016442106132573776,0.007691928942037695,0.006467666590252231,0.00436761888238211
max_line_length,0.004069390195855996,0.45947355,0.0014057387170237814,0.011146294560912443,0.031716967823719286,0.006943681958363691,0.0021302836394570144
max_nesting_depth,0.004618292808181126,0.24555166,0.00016667000403395812,0.025456675622835368,0.0026710174504119143,0.010470269840357298,0.0032799071982996253
num_lines,0.06807291981441027,2.6359718,0.2202790495741464,0.015474870777368697,0.007208646464918481,0.01017968207182615,0.003205488239005042
obfusc_score,0.03226065039870545,0.7099704,0.0036595315025832915,0.0072735433141492885,0.0063253234847246,0.004780192092057949,0.0024736991514562167
ratio_alpha,0.017997398080539236,0.54352826,0.018069631077033896,0.04584404332528126,0.015220657193921468,0.0715866540842979,0.004894385270528163
ratio_digit,0.0045939890561981665,0.17563215,0.009531276274099082,0.031130494328409416,0.03647098454191333,0.009162244798877053,0.002545889603368595
ratio_space,0.011304945073512849,0.27073598,0.004945865341626951,0.04663208252218986,0.017767452823633113,0.04994903459364515,0.0017890921058633436
ratio_special,0.004127509235884672,0.2572426,0.001178924556162293,0.011628259600538014,0.011827879238527248,0.008741030274337603,0.0037620187417811064
ratio_uppercase,0.0035437672226056745,0.6208116,0.0069002471247709,0.05416929416158222,0.016540910044997,0.046782130608781135,0.0038992832491374658
unique_chars,0.011538293850222932,0.2048514,0.005328640062888425,0.0036729707393391565,0.0025920213244454947,0.009995258590091509,0.011407242801073936
